地区,指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
新疆维吾尔族自治区,房地产投资累计值(亿元),1074.04,1027.8,896.09,702.06,539.08,400.79,253.59,154.36,78.73,31.67,12.46,,1033.44,983.74,851.46,650.01,520.77,380.48,243.49,122.48,70.15,29.01,13.28,,1037.86,1025.09,949.04,813.43,665.33,520.71,382.13,222.41,103.47,41.44,10.92,
新疆维吾尔族自治区,房地产投资累计增长(%),3.9,4.5,5.2,8,3.5,5.3,4.1,26,12.2,9.2,-6.1,,-0.4,-4,-10.3,-20.1,-21.7,-26.9,-36.3,-44.9,-32.2,-30,21.6,,12.4,13.9,15.4,12.4,11.2,10.7,14.6,1.3,0,17.4,-6.2,
新疆维吾尔族自治区,房地产住宅投资累计值(亿元),724.13,692.88,599.76,469.64,362.56,268.32,168.69,100.16,48.43,21.27,8.64,,642.48,612.01,520.91,389.19,311.05,222.52,147.42,77.61,44.26,17.29,7.65,,588.25,578.49,538.23,461.18,370.52,291.58,215.84,120.64,53.23,20.98,5.55,
新疆维吾尔族自治区,房地产住宅投资累计增长(%),12.7,13.2,15.1,20.7,16.6,20.6,14.4,29.1,9.4,23,12.9,,9.2,5.8,-3.2,-15.6,-16.1,-23.7,-31.7,-35.7,-16.8,-17.6,37.8,,13.4,14.4,16.2,12.3,9.4,9.6,11.7,-6.3,-13.1,14.7,-8.1,
宁夏回族自治区,房地产投资累计值(亿元),403.09,380.16,345.37,306.7,248.84,204.72,157.15,107.4,69.33,34.13,5.37,,449.57,430.18,387.03,342.39,291.3,245.14,198.21,127.81,86.85,37.66,5.76,,652.84,620.38,548.4,479.55,400.42,314.79,254.31,161.71,96.99,48.68,6.5,
宁夏回族自治区,房地产投资累计增长(%),-10.3,-11.6,-10.8,-10.4,-14.6,-16.5,-20.7,-16,-20.2,-9.4,-6.7,,-31.1,-30.7,-29.4,-28.6,-27.3,-22.1,-22.1,-21,-10.4,-22.6,-11.4,,-10.3,-7.1,-9.7,-10.1,-6.5,1,2.2,-1,-2.4,-1.1,69.8,
宁夏回族自治区,房地产住宅投资累计值(亿元),281.74,267.1,244.76,214.26,172.66,139.99,105.69,71.26,48.31,24.16,4.14,,300.41,285.89,260.85,229.28,195.77,162.69,131.81,85.71,58.59,22.73,1.94,,387.75,368.41,323.61,281.14,230.15,181.83,146.17,91.71,52.29,25.36,2.99,
宁夏回族自治区,房地产住宅投资累计增长(%),-6.2,-6.6,-6.2,-6.5,-11.8,-14,-19.8,-16.9,-17.5,6.3,114,,-22.5,-22.4,-19.4,-18.4,-14.9,-10.5,-9.8,-6.5,12,-10.4,-35.1,,-10.9,-8.8,-12,-14,-14,-6.1,-3.8,-4.7,-8.5,-12.8,46.1,
西藏自治区,房地产投资累计值(亿元),129.56,124.1,105.24,85.79,69.53,54.75,38.05,27.34,12.02,4.57,0.5,,92.6,91.75,75.1,60.87,53.38,40.65,27.66,9.99,5.69,3.42,0.11,,40.36,38.87,34.3,28.81,21.27,19.3,17.72,10.83,5.97,3.39,0.44,
西藏自治区,房地产投资累计增长(%),39.9,35.3,40.1,40.9,30.3,34.7,37.6,173.5,111,33.7,341.4,,129.4,136,118.9,111.3,151,110.6,56.1,-7.7,-4.6,0.8,-73.9,,-16.8,-15.7,-22.6,-28.1,-38,-20.8,1.6,5,2.5,61.3,236.2,
西藏自治区,房地产住宅投资累计值(亿元),96.87,92.92,78.16,63.32,51.64,41.57,29.29,20.8,8.7,3.64,0.22,,49.99,46.59,35.13,26.24,20.99,16.65,11.44,3.92,2.88,1.62,0.01,,20.1,19.53,17.7,16.85,12.02,10.92,9.62,6.26,3.13,1.95,0.24,
西藏自治区,房地产住宅投资累计增长(%),93.8,99.5,122.5,141.3,145.9,149.7,156,431.2,201.9,124.5,,,148.8,138.6,98.4,55.7,74.7,52.5,19,-37.5,-7.9,-16.6,-94.3,,-48.7,-47.5,-51.1,-48.7,-57.7,-46.4,-15.3,3.6,-24.8,25.9,,
浙江,房地产投资累计值(亿元),10682.97,9958.1,8984.13,8055.48,6960.02,6043.04,5166.87,3921.19,2965.27,2133.88,1205.26,,9944.93,9271.7,8325.59,7454.97,6462.62,5610.39,4795.03,3569.37,2664.73,1899.54,1010.54,,8226.78,7569.48,6798.75,6043.05,5197.42,4505.42,3861.39,2926.82,2210.81,1590.98,862.04,
浙江,房地产投资累计增长(%),7.4,7.4,7.9,8.1,7.7,7.7,7.8,9.9,11.3,12.3,19.3,,20.9,22.5,22.5,23.4,24.3,24.5,24.2,22,20.5,19.4,17.2,,10.1,11.2,10.7,11,10,10.3,10.2,10.3,9.6,9.2,9.2,
浙江,房地产住宅投资累计值(亿元),7727.11,7258.21,6536.59,5869.78,5074.69,4393.13,3765.29,2829.72,2129.06,1486.95,862.2,,7156.45,6706.61,6034.17,5409,4681.47,4032.13,3413.52,2500.68,1844.45,1307.3,657.96,,5645.98,5208.47,4692.81,4158.72,3568.56,3078.16,2611.66,1998.47,1511.66,1089.34,582.76,
浙江,房地产住宅投资累计增长(%),8,8.2,8.3,8.5,8.4,9,10.3,13.2,15.4,13.7,31,,26.8,28.8,28.6,30.1,31.2,31,30.7,25.1,22,20,12.9,,17.5,18,17.7,18.7,17.7,18.9,18.7,19.9,19.9,21.6,20,
广西壮族自治区,房地产投资累计值(亿元),3814.41,3323.41,2903.64,2574.82,2264.58,1957,1738.26,1271.92,958.23,657.44,284.6,,3004.13,2632.57,2303.63,2000.44,1761.73,1557.51,1367.68,997.56,750.44,512.89,233.88,,2683.48,2365.29,2038.68,1761.92,1564.81,1373.39,1217.67,882.68,676.53,464.05,215.59,
广西壮族自治区,房地产投资累计增长(%),27,26.2,26,28.7,28.5,25.6,27.1,27.5,27.7,28.2,21.7,,11.9,11.3,13,13.5,12.6,13.4,12.3,13,10.9,10.5,8.5,,11.9,16.8,20.3,21,23.5,24.4,29.3,31.9,33.1,31.9,26,
广西壮族自治区,房地产住宅投资累计值(亿元),2924.18,2569.74,2245.3,1982.86,1748.08,1514.17,1347.6,997.88,747.81,511.46,216.64,,2217.5,1951.15,1694.79,1464.63,1301.4,1151.19,1000.66,743.06,557.69,380.87,172.74,,1983.52,1744.54,1494.42,1293.69,1144.32,1000.64,885.82,649.17,502.12,335.25,157.11,
广西壮族自治区,房地产住宅投资累计增长(%),31.9,31.7,32.5,35.4,34.3,31.5,34.7,34.3,34.1,34.3,25.4,,11.8,11.8,13.4,13.2,13.7,15,13,14.5,11.1,13.6,10,,15,21.1,24.1,25.6,27.9,26.2,30.2,34.2,36.7,31.1,24.4,
内蒙古,房地产投资累计值(亿元),1041.95,1026.08,957.6,851.48,677.94,520.28,361,210.34,110.78,46.44,5.61,,882.85,875.14,827.04,744.38,605.64,483.99,341.22,185.27,93.35,39.61,8.19,,889.72,905.98,863.43,757.22,616.22,496.21,373.14,216.13,107.49,40.38,7.59,
内蒙古,房地产投资累计增长(%),18,17.2,15.8,14.4,11.9,7.5,5.8,13.5,18.7,17.2,-31.5,,-0.8,-3.4,-4.2,-1.7,-1.7,-2.5,-8.6,-14.3,-13.2,-1.9,7.9,,-21.5,-19.2,-15.9,-14.9,-13.1,-10.5,-8.3,7.9,10.6,9.7,3.7,
内蒙古,房地产住宅投资累计值(亿元),782.13,769.18,702.77,626.28,490.55,379.53,264.18,156.79,84,34.77,3.52,,641.99,637.17,601.15,538.56,437.35,347.51,244.6,138.16,71.78,29.48,5.06,,645.85,665.28,634.27,556.06,453,366.55,277.76,161.99,78.53,27.7,5.46,
内蒙古,房地产住宅投资累计增长(%),21.8,20.7,16.9,16.3,12.2,9.2,8,13.5,17,17.9,-30.4,,-0.6,-4.2,-5.2,-3.1,-3.5,-5.2,-11.9,-14.7,-8.6,6.4,-7.4,,-18.6,-15.2,-11.4,-9.4,-9.2,-6.5,-3.3,15.1,18.5,23.2,11.9,
辽宁,房地产投资累计值(亿元),2833.95,2763.92,2602.83,2372.82,2040.24,1769.68,1487.19,992.73,713.3,473.64,132.81,,2599.27,2502.16,2365.28,2169.2,1883.46,1616.73,1364.53,971.56,651.76,388.47,119.84,,2289.67,2261.15,2152.56,1955.7,1681.09,1418.83,1181.81,837.19,600.61,393.43,143.47,
辽宁,房地产投资累计增长(%),9,10.5,10,9.4,8.3,9.5,9,2.2,9.4,21.9,10.8,,13.5,10.7,9.9,10.9,12,13.9,15.5,16.1,8.5,-1.3,-16.5,,9.3,8.8,5.2,-0.6,-8,-14.3,-17.9,-21.2,-16.8,-10.5,-1.7,
辽宁,房地产住宅投资累计值(亿元),2188.35,2138.24,2013.38,1829.33,1563.39,1355.59,1150.15,773.67,548.78,358.73,103.26,,1944.46,1872.16,1770.28,1614.81,1400.06,1188.94,990.82,708.63,463.96,268.29,86.13,,1673.91,1645.63,1562.42,1420.27,1228.32,1033.03,856.92,603.91,430.78,285.39,102.95,
辽宁,房地产住宅投资累计增长(%),12.5,14.2,13.7,13.3,11.7,14,16.1,9.2,18.3,33.7,19.9,,16.2,13.8,13.3,13.7,14,15.1,15.6,17.3,7.7,-6,-16.3,,11.2,10.3,6.2,0,-7.2,-13.6,-17.7,-21.6,-18.3,-11.8,-6.5,
天津,房地产投资累计值(亿元),2727.82,2569.69,2423.81,2261.83,1970.46,1772.75,1549.36,1198.52,866.09,587.09,220.45,,2424.49,2231.18,2087.52,1893.4,1651.63,1489.22,1301.37,980.75,694.84,460.72,173.1,,2233.39,2121.29,2013.76,1899.12,1660.29,1424.55,1192.85,822.64,593.31,421.9,185.95,
天津,房地产投资累计增长(%),12.5,15.2,16.1,19.5,19.3,19,19.1,22.2,24.6,27.4,27.4,,8.6,5.2,3.7,-0.3,-0.5,4.5,9.1,19.2,17.1,9.2,-6.9,,-2.9,-2.9,0.3,4.2,2.9,0.8,-0.8,-4.4,-3.7,6,35.7,
天津,房地产住宅投资累计值(亿元),2200.01,2057.56,1946.38,1826.36,1589.04,1431.13,1258.05,986.22,690.11,478.64,171.94,,1863.5,1719.79,1595.67,1432.19,1240.1,1096.52,928.02,694.99,497.09,319.87,124.22,,1559.7,1486.2,1406.07,1323.46,1161.7,957.33,794.46,546.57,389.72,268.46,122.98,
天津,房地产住宅投资累计增长(%),18.1,19.6,22,27.5,28.1,30.5,35.6,41.9,38.8,49.6,38.4,,19.5,15.7,13.5,8.2,6.7,14.5,16.8,27.2,27.5,19.1,1,,-2.4,-1.9,1.1,5.9,5.4,-0.2,-1.7,-6.3,-4.6,3.8,23,
福建,房地产投资累计值(亿元),5673.13,5252.96,4773.63,4303.23,3730.74,3290.83,2826.9,2260.03,1796.77,1306.38,648.82,,4940.34,4522.27,4112.24,3685.11,3186.28,2804.84,2404.92,1898.48,1502.59,1109.32,550.79,,4794.23,4385.97,3989.1,3539.09,3098.12,2714.79,2365.93,1797.84,1423.98,1076.52,548.97,
